Input Image,Your Text Input,Class,Your Text Output,Face with Explainability,flag,username,timestamp
flagged\Input Image\af8e3b9b657824c23207\ArchitectureDiagram.png,,"{""label"": ""fake"", ""confidences"": [{""label"": ""fake"", ""confidence"": 0.903092622756958}, {""label"": ""real"", ""confidence"": 0.09690737724304199}]}",,flagged\Face with Explainability\7c6a4bd2e5c331d7f222\image.webp,,,2024-05-01 11:03:18.232158
flagged\Input Image\7c37604bb52b86d34058\fake_23196.jpg,,"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9999999999999948}, {""label"": ""fake"", ""confidence"": 5.235010474023477e-15}]}",,flagged\Face with Explainability\39cc60ab57b15c1469c4\image.webp,,,2024-05-01 11:05:33.318973
flagged\Input Image\9006bf338b4a95dc6db4\fake_23196.jpg,fake,"{""label"": ""real"", ""confidences"": [{""label"": ""real"", ""confidence"": 0.9999999999999948}, {""label"": ""fake"", ""confidence"": 5.235010474023477e-15}]}",fake,flagged\Face with Explainability\2963ccba0fc83f7434a3\image.webp,,,2024-05-01 11:05:47.971051
